"","ID","a_p2relsat","Avoidance_centering","Anxiety_centering","Identification_centering","day"
"1",1,5,10.7840909090909,-13.1704545454546,-1.13636363636364,1
"2",1,6,10.7840909090909,-13.1704545454546,-1.13636363636364,2
"3",1,3,10.7840909090909,-13.1704545454546,-1.13636363636364,3
"4",1,3,10.7840909090909,-13.1704545454546,-1.13636363636364,4
"5",1,6,10.7840909090909,-13.1704545454546,-1.13636363636364,5
"6",1,5,10.7840909090909,-13.1704545454546,-1.13636363636364,6
"7",2,6,-7.21590909090909,8.82954545454545,4.86363636363636,1
"8",2,3,-7.21590909090909,8.82954545454545,4.86363636363636,2
"9",2,3,-7.21590909090909,8.82954545454545,4.86363636363636,3
"10",2,6,-7.21590909090909,8.82954545454545,4.86363636363636,4
"11",2,6,-7.21590909090909,8.82954545454545,4.86363636363636,5
"12",2,6,-7.21590909090909,8.82954545454545,4.86363636363636,6
"13",3,2,7.78409090909091,1.82954545454545,4.86363636363636,1
"14",3,4,7.78409090909091,1.82954545454545,4.86363636363636,2
"15",3,3,7.78409090909091,1.82954545454545,4.86363636363636,3
"16",3,4,7.78409090909091,1.82954545454545,4.86363636363636,4
"17",3,5,7.78409090909091,1.82954545454545,4.86363636363636,5
"18",3,6,7.78409090909091,1.82954545454545,4.86363636363636,6
"19",6,3,-6.21590909090909,-13.1704545454546,-9.13636363636364,1
"20",6,6,-6.21590909090909,-13.1704545454546,-9.13636363636364,2
"21",6,4,-6.21590909090909,-13.1704545454546,-9.13636363636364,3
"22",6,4,-6.21590909090909,-13.1704545454546,-9.13636363636364,4
"23",6,4,-6.21590909090909,-13.1704545454546,-9.13636363636364,5
"24",6,6,-6.21590909090909,-13.1704545454546,-9.13636363636364,6
"25",7,4,0.784090909090908,1.82954545454545,-0.136363636363637,1
"26",7,2,0.784090909090908,1.82954545454545,-0.136363636363637,2
"27",7,4,0.784090909090908,1.82954545454545,-0.136363636363637,3
"28",7,4,0.784090909090908,1.82954545454545,-0.136363636363637,4
"29",7,5,0.784090909090908,1.82954545454545,-0.136363636363637,5
"30",7,5,0.784090909090908,1.82954545454545,-0.136363636363637,6
"31",13,5,-4.21590909090909,-9.17045454545455,-7.13636363636364,1
"32",13,4,-4.21590909090909,-9.17045454545455,-7.13636363636364,2
"33",13,5,-4.21590909090909,-9.17045454545455,-7.13636363636364,3
"34",13,NA,-4.21590909090909,-9.17045454545455,-7.13636363636364,4
"35",13,5,-4.21590909090909,-9.17045454545455,-7.13636363636364,5
"36",13,5,-4.21590909090909,-9.17045454545455,-7.13636363636364,6
"37",16,5,-5.21590909090909,12.8295454545454,5.86363636363636,1
"38",16,6,-5.21590909090909,12.8295454545454,5.86363636363636,2
"39",16,6,-5.21590909090909,12.8295454545454,5.86363636363636,3
"40",16,6,-5.21590909090909,12.8295454545454,5.86363636363636,4
"41",16,4,-5.21590909090909,12.8295454545454,5.86363636363636,5
"42",16,NA,-5.21590909090909,12.8295454545454,5.86363636363636,6
"43",19,4,-7.21590909090909,-0.170454545454547,0.863636363636363,1
"44",19,5,-7.21590909090909,-0.170454545454547,0.863636363636363,2
"45",19,5,-7.21590909090909,-0.170454545454547,0.863636363636363,3
"46",19,3,-7.21590909090909,-0.170454545454547,0.863636363636363,4
"47",19,4,-7.21590909090909,-0.170454545454547,0.863636363636363,5
"48",19,4,-7.21590909090909,-0.170454545454547,0.863636363636363,6
"49",21,NA,3.78409090909091,8.82954545454545,-1.13636363636364,1
"50",21,3,3.78409090909091,8.82954545454545,-1.13636363636364,2
"51",21,4,3.78409090909091,8.82954545454545,-1.13636363636364,3
"52",21,6,3.78409090909091,8.82954545454545,-1.13636363636364,4
"53",21,1,3.78409090909091,8.82954545454545,-1.13636363636364,5
"54",21,3,3.78409090909091,8.82954545454545,-1.13636363636364,6
"55",25,4,-5.21590909090909,3.82954545454545,-4.13636363636364,1
